gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,2,1024,1024,ck,7,0,3.8918,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.08,271.01,0.0
gfx950,256,2,1024,2048,ck,7,0,5.2282,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.6,402.69,0.0
gfx950,256,2,1024,4096,ck,7,0,12.0383,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.39,349.43,0.0
gfx950,256,2,1152,2048,ck,7,0,5.8106,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.62,407.53,0.0
gfx950,256,2,1536,2048,ck,7,0,7.5211,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.67,419.62,0.0
gfx950,256,2,2048,512,ck,7,0,2.9658,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.41,356.66,0.0
gfx950,256,2,2048,1024,ck,7,0,3.9292,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.13,536.34,0.0
gfx950,256,2,2048,2048,ck,7,0,7.3283,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.29,574.02,0.0
gfx950,256,2,2048,4096,ck,7,0,12.2679,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.74,685.12,0.0
gfx950,256,2,2176,4096,ck,7,0,12.2827,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.9,727.02,0.0
gfx950,256,2,2304,2048,ck,7,0,7.4911,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.52,631.67,0.0
gfx950,256,2,2560,4096,ck,7,0,12.5047,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.35,840.02,0.0
gfx950,256,2,3072,2048,ck,7,0,7.4827,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.36,842.99,0.0
gfx950,256,2,4096,2048,ck,7,0,6.964,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.82,1207.51,0.0
gfx950,256,2,4352,4096,ck,7,0,12.4143,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.74,1437.97,0.0
gfx950,256,2,4608,2048,ck,7,0,7.1868,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.25,1316.26,0.0
gfx950,256,2,4608,4096,ck,7,0,12.6641,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.96,1492.49,0.0
gfx950,256,2,5120,4096,ck,7,0,12.7807,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.56,1643.12,0.0
gfx950,256,2,6144,2048,ck,7,0,7.8348,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.42,1609.69,0.0
gfx950,256,2,8704,4096,ck,7,0,13.6679,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.43,2611.56,0.0
gfx950,256,2,9216,2048,ck,7,0,7.4979,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.07,2522.75,0.0
gfx950,256,2,10240,4096,ck,7,0,14.5233,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.55,2891.37,0.0
gfx950,256,2,12288,2048,ck,7,0,8.9331,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.27,2823.1,0.0
gfx950,256,2,17408,4096,ck,7,0,16.4033,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,17.39,4351.62,0.0
gfx950,256,2,20480,4096,ck,7,0,17.4288,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,19.25,4818.24,0.0
gfx950,256,4,16,4096,cktile,0,0,14.2842,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,0.04,5.74,0.0
gfx950,256,4,32,4096,cktile,2,0,14.2116,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x64_intrawave_0x1x0_1,0.07,10.39,0.0
gfx950,256,4,256,512,ck,7,0,2.4076,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.44,56.14,0.0
